word,emotion
mire,negative
hablar,positive
humo,negative
cubrir,neutro
integral,positive
necesidad,neutro
escuela,neutro
no,negative
buena,positive
familia,positive
ayuda,positive
qué,positive
abuso,negative
horrible,negative
violencia,negative
discriminación,negative
nivel,positive
odio,negative
defender,positive
acusación,negative
constitucional,positive
mostrar,neutro
pandemia,negative
inclusión,neutro
motivo,positive
indignación,negative
comprender,positive
lucir,negative
comunidad,positive
academia,positive
tema,negative
discusión,positive
tiempo,neutro
sea,positive
tarde,negative
inaceptable,negative
persecución,negative
política,neutro
culpable,negative
llegar,neutro
pena,negative
tribunal,negative
justicia,positive
ley,neutro
desprecio,negative
acción,positive
daño,negative
sufrimiento,negative
físico,neutro
privado,negative
público,positive
cultura,positive
violación,negative
edición,neutro
regular,positive
acoso,negative
laboral,positive
cuenta,neutro
senado,neutro
dictadura,negative
centro,positive
facultad,positive
mañana,neutro
perspectiva,positive
compromiso,negative
político,positive
comunicación,neutro
green,positive
informe,negative
ahorro,positive
crédito,positive
administración,positive
efectivo,positive
pago,negative
participación,positive
sistema,neutro
víctima,negative
evitar,negative
formación,positive
urgente,negative
enfoque,positive
guía,positive
represión,negative
clave,neutro
patriarcal,positive
maternidad,positive
cuerpo,positive
miedo,negative
libertad,positive
revolución,positive
libremente,positive
sin,negative
duro,negative
escrutinio,negative
marco,neutro
trabajo,positive
reunión,positive
consejo,neutro
académico,positive
presidenta,positive
cuando,negative
explorar,neutro
transporte,neutro
compañero,positive
igualdad,positive
combativo,negative
lucha,negative
esperando,neutro
revive,positive
conjunto,positive
encuesta,neutro
puerto,neutro
conmemoración,positive
golpe,negative
estado,positive
participar,positive
unido,positive
próximo,positive
defensa,positive
señor,positive
saber,negative
sexo,positive
ver,neutro
mayor,positive
disminuir,negative
investigación,neutro
banco,neutro
república,negative
base,neutro
decente,positive
director,positive
equidad,positive
incluir,positive
estilo,positive
reforzar,positive
vigilancia,positive
entrega,positive
posibilidad,neutro
agosto,positive
intervención,positive
presentación,positive
lectura,positive
morir,negative
escritura,neutro
detección,positive
caso,negative
jornada,negative
aclarar,positive
oficial,neutro
tratar,positive
convenio,positive
leer,negative
producción,positive
aborto,negative
oposición,negative
planificación,positive
división,negative
viva,positive
bueno,positive
si,positive
pornografía,negative
hija,positive
renovación,positive
dejar,negative
presidente,positive
real,positive
fútbol,positive
corrección,negative
intenso,positive
debate,positive
comisión,neutro
desafío,negative
brecha,negative
tecnología,positive
verdad,positive
problema,negative
infancia,positive
necesario,negative
partida,negative
lealtad,positive
finalmente,positive
inversión,negative
fortalecimiento,positive
alegría,positive
orgullo,positive
adelante,positive
profesional,positive
oportunidad,positive
tarea,positive
pendiente,neutro
aparentemente,negative
bebé,positive
pesar,neutro
luchó,negative
tradicional,positive
sentido,positive
cortar,negative
establecido,positive
fuerza,positive
tortura,negative
último,neutro
reparación,positive
premio,positive
periodismo,neutro
capitalista,positive
recepción,positive
reducir,negative
cream,positive
congreso,neutro
habló,negative
información,positive
inteligencia,positive
prevención,positive
recurrente,neutro
embargo,negative
hechos,positive
discurso,positive
trata,negative
mal,negative
propio,positive
masculino,positive
dar,positive
desigualdad,negative
carga,negative
nada,negative
cena,positive
peor,negative
chiste,positive
sufrir,negative
justo,positive
física,positive
denuncia,negative
general,positive
corte,negative
recurso,positive
protección,positive
agresión,negative
recibió,positive
hermano,positive
canal,neutro
rating,negative
sorprendentemente,positive
irrespetuoso,negative
inmoral,negative
interés,positive
económico,positive
digno,positive
consulta,positive
paro,negative
gobierno,negative
contrario,negative
ocultar,neutro
arsenal,neutro
jugador,negative
acusado,negative
cuento,positive
molesta,negative
increíble,negative
fanatismo,neutro
tolerar,negative
